,timestamp_iso,sample_rh,sample_temp,opc_pm25,opc_pm10
25,2025-10-25 19:00:03+00:00,31.07,18.97,0.185,0.185
26,2025-10-25 19:00:08+00:00,32.21,19.01,1.009,2.092
27,2025-10-25 19:00:13+00:00,31.15,19.01,0.195,0.195
28,2025-10-25 19:00:18+00:00,31.4,19.05,0.379,0.384
29,2025-10-25 19:00:23+00:00,30.76,19.03,0.475,0.51
30,2025-10-25 19:00:28+00:00,29.45,19.03,0.143,0.143
31,2025-10-25 19:00:33+00:00,29.23,19.05,0.212,0.212
32,2025-10-25 19:00:38+00:00,28.94,19.05,0.769,1.002
33,2025-10-25 19:00:43+00:00,30.2,19.05,0.205,0.205
34,2025-10-25 19:00:48+00:00,31.81,19.03,0.352,0.352
35,2025-10-25 19:00:53+00:00,30.04,19.03,0.959,0.993
36,2025-10-25 19:00:58+00:00,28.95,19.03,0.207,0.207
37,2025-10-25 19:01:03+00:00,29.14,19.03,0.115,0.115
38,2025-10-25 19:01:08+00:00,28.6,19.05,0.176,0.176
39,2025-10-25 19:01:13+00:00,28.31,19.05,0.233,0.233
40,2025-10-25 19:01:18+00:00,28.24,19.03,1.096,2.101
41,2025-10-25 19:01:23+00:00,28.93,19.03,0.576,0.611
42,2025-10-25 19:01:28+00:00,29.29,19.03,0.196,0.196
43,2025-10-25 19:01:33+00:00,29.19,19.03,0.509,0.544
44,2025-10-25 19:01:38+00:00,29.27,19.05,0.442,0.446
45,2025-10-25 19:01:43+00:00,30.08,19.03,1.559,2.79
46,2025-10-25 19:01:48+00:00,30.15,19.02,1.046,2.054
47,2025-10-25 19:01:53+00:00,30.01,19.05,1.055,4.296
48,2025-10-25 19:01:58+00:00,29.96,19.08,0.191,0.191
49,2025-10-25 19:02:03+00:00,29.38,19.08,0.48,0.489
50,2025-10-25 19:02:08+00:00,29.94,19.09,0.361,0.362
51,2025-10-25 19:02:13+00:00,30.51,19.12,0.761,0.988
52,2025-10-25 19:02:18+00:00,30.58,19.1,0.146,0.146
53,2025-10-25 19:02:23+00:00,30.03,19.09,0.068,0.068
54,2025-10-25 19:02:28+00:00,28.72,19.08,0.378,0.378
55,2025-10-25 19:02:33+00:00,28.72,19.09,0.577,0.578
56,2025-10-25 19:02:38+00:00,28.71,19.09,0.448,0.449
57,2025-10-25 19:02:43+00:00,28.57,19.08,0.832,8.466
58,2025-10-25 19:02:48+00:00,28.35,19.05,0.307,0.311
59,2025-10-25 19:02:53+00:00,28.82,19.03,0.287,0.287
60,2025-10-25 19:02:58+00:00,28.79,19.03,1.036,1.255
61,2025-10-25 19:03:03+00:00,29.05,19.02,0.73,0.765
62,2025-10-25 19:03:08+00:00,29.46,19.03,0.652,0.652
63,2025-10-25 19:03:13+00:00,29.45,19.03,0.901,0.937
64,2025-10-25 19:03:18+00:00,29.56,19.02,0.5,0.5
65,2025-10-25 19:03:23+00:00,29.38,19.02,0.302,0.302
66,2025-10-25 19:03:28+00:00,29.61,19.02,0.323,0.323
67,2025-10-25 19:03:33+00:00,29.03,19.01,0.281,0.281
68,2025-10-25 19:03:38+00:00,29.05,19.01,0.384,0.388
69,2025-10-25 19:03:43+00:00,28.65,18.99,0.263,0.263
70,2025-10-25 19:03:48+00:00,28.64,18.99,1.112,4.353
71,2025-10-25 19:03:53+00:00,28.66,18.99,0.458,0.458
72,2025-10-25 19:03:58+00:00,28.91,18.99,0.226,0.226
73,2025-10-25 19:04:03+00:00,28.96,18.98,0.663,0.699
