,timestamp_iso,sample_rh,sample_temp,opc_pm25,opc_pm10
128,2025-11-02 20:00:02+00:00,32.83,16.99,0.132,0.132
129,2025-11-02 20:00:07+00:00,32.76,16.94,0.661,0.886
130,2025-11-02 20:00:12+00:00,32.91,16.93,0.155,0.155
131,2025-11-02 20:00:17+00:00,32.8,16.91,1.292,9.612
132,2025-11-02 20:00:22+00:00,33.0,16.9,0.085,0.085
133,2025-11-02 20:00:27+00:00,33.07,16.88,0.186,0.186
134,2025-11-02 20:00:32+00:00,33.13,16.83,0.142,0.142
135,2025-11-02 20:00:37+00:00,32.74,16.84,0.116,0.116
136,2025-11-02 20:00:42+00:00,32.72,16.79,0.515,0.549
137,2025-11-02 20:00:47+00:00,32.92,16.79,0.078,0.078
138,2025-11-02 20:00:52+00:00,32.59,16.76,0.06,0.06
139,2025-11-02 20:00:57+00:00,33.0,16.74,0.129,0.129
140,2025-11-02 20:01:02+00:00,33.34,16.7,0.115,0.115
141,2025-11-02 20:01:07+00:00,33.16,16.7,0.216,0.216
142,2025-11-02 20:01:12+00:00,33.39,16.66,0.325,0.329
143,2025-11-02 20:01:17+00:00,34.1,16.66,0.302,0.302
144,2025-11-02 20:01:22+00:00,33.96,16.63,0.657,0.877
145,2025-11-02 20:01:27+00:00,33.56,16.62,0.3,0.304
146,2025-11-02 20:01:32+00:00,33.24,16.6,0.139,0.139
147,2025-11-02 20:01:37+00:00,33.09,16.58,0.185,0.185
148,2025-11-02 20:01:42+00:00,33.1,16.58,0.127,0.127
149,2025-11-02 20:01:47+00:00,33.34,16.53,0.303,0.307
150,2025-11-02 20:01:52+00:00,33.83,16.53,0.107,0.107
151,2025-11-02 20:01:57+00:00,34.16,16.53,0.156,0.156
152,2025-11-02 20:02:02+00:00,34.2,16.49,0.251,0.251
153,2025-11-02 20:02:07+00:00,34.08,16.48,0.1,0.1
154,2025-11-02 20:02:12+00:00,34.61,16.48,0.702,0.769
155,2025-11-02 20:02:17+00:00,34.99,16.46,0.645,0.868
156,2025-11-02 20:02:22+00:00,34.5,16.45,0.517,0.555
157,2025-11-02 20:02:27+00:00,33.96,16.43,0.12,0.12
158,2025-11-02 20:02:32+00:00,33.81,16.42,0.951,1.901
159,2025-11-02 20:02:37+00:00,33.96,16.39,0.176,0.176
160,2025-11-02 20:02:42+00:00,33.76,16.38,0.637,0.849
161,2025-11-02 20:02:47+00:00,34.18,16.38,0.167,0.167
