Time_Stamp,Instrument_ID,Prox_to_xroad,Date,Time,Condition,Session,IAQ
1,PurpleAir_Zen,Away,2025-11-01,19:00:13,Control,Session 2,83.07
2,PurpleAir_Zen,Away,2025-11-01,19:02:13,Control,Session 2,78.6
3,PurpleAir_Zen,Away,2025-11-01,19:04:13,Control,Session 2,81.18
4,PurpleAir_Zen,Away,2025-11-01,19:05:54,Control,Session 2,
5,PurpleAir_Zen,Away,2025-11-01,19:07:54,Control,Session 2,82.79
6,PurpleAir_Zen,Away,2025-11-01,19:09:54,Control,Session 2,85.08
7,PurpleAir_Zen,Away,2025-11-01,19:11:54,Control,Session 2,81.45
8,PurpleAir_Zen,Away,2025-11-01,19:13:54,Control,Session 2,77.7
9,PurpleAir_Zen,Away,2025-11-01,19:15:54,Control,Session 2,76.66
10,PurpleAir_Zen,Away,2025-11-01,19:17:54,Control,Session 2,79.28
11,PurpleAir_Zen,Away,2025-11-01,19:19:54,Control,Session 2,79.38
12,PurpleAir_Zen,Away,2025-11-01,19:21:54,Control,Session 2,89.68
13,PurpleAir_Zen,Away,2025-11-01,19:23:54,Control,Session 2,80.58
14,PurpleAir_Zen,Away,2025-11-01,19:25:35,Control,Session 2,
15,PurpleAir_Zen,Away,2025-11-01,19:27:35,Control,Session 2,84.74
16,PurpleAir_Zen,Away,2025-11-01,19:29:35,Control,Session 2,88.71
17,PurpleAir_Zen,Away,2025-11-01,19:31:35,Control,Session 2,
18,PurpleAir_Zen,Away,2025-11-01,19:33:35,Control,Session 2,82.47
19,PurpleAir_Zen,Away,2025-11-01,19:35:35,Control,Session 2,84.79
20,PurpleAir_Zen,Away,2025-11-01,19:37:35,Control,Session 2,80.1
21,PurpleAir_Zen,Away,2025-11-01,19:39:35,Control,Session 2,83.73
22,PurpleAir_Zen,Away,2025-11-01,19:41:35,Control,Session 2,84.57
23,PurpleAir_Zen,Away,2025-11-01,19:43:35,Control,Session 2,81.38
24,PurpleAir_Zen,Away,2025-11-01,19:45:17,Control,Session 2,
25,PurpleAir_Zen,Away,2025-11-01,19:47:17,Control,Session 2,82.49
26,PurpleAir_Zen,Away,2025-11-01,19:49:17,Control,Session 2,89.79
27,PurpleAir_Zen,Away,2025-11-01,19:51:17,Control,Session 2,85.41
28,PurpleAir_Zen,Away,2025-11-01,19:53:17,Control,Session 2,
29,PurpleAir_Zen,Away,2025-11-01,19:55:17,Control,Session 2,92.79
30,PurpleAir_Zen,Away,2025-11-01,19:57:17,Control,Session 2,84.64
31,PurpleAir_Zen,Away,2025-11-01,19:59:17,Control,Session 2,90.65
32,PurpleAir_Zen,Away,2025-11-01,20:01:17,Control,Session 2,86.83
33,PurpleAir_Zen,Away,2025-11-01,20:03:17,Control,Session 2,86.69
34,PurpleAir_Zen,Away,2025-11-01,20:04:59,Control,Session 2,
35,PurpleAir_Zen,Away,2025-11-01,20:06:59,Control,Session 2,80.97
36,PurpleAir_Zen,Away,2025-11-01,20:08:59,Control,Session 2,85.73
37,PurpleAir_Zen,Away,2025-11-01,20:10:59,Control,Session 2,89.44
38,PurpleAir_Zen,Away,2025-11-01,20:12:59,Control,Session 2,84.89
39,PurpleAir_Zen,Away,2025-11-01,20:14:59,Control,Session 2,102.14
40,PurpleAir_Zen,Away,2025-11-01,20:16:59,Control,Session 2,90.77
41,PurpleAir_Zen,Away,2025-11-01,20:18:59,Control,Session 2,81.47
42,PurpleAir_Zen,Away,2025-11-01,20:20:59,Control,Session 2,81.74
43,PurpleAir_Zen,Away,2025-11-01,20:22:59,Control,Session 2,141.58
44,PurpleAir_Zen,Away,2025-11-01,20:24:40,Control,Session 2,
45,PurpleAir_Zen,Away,2025-11-01,20:26:40,Control,Session 2,79.24
46,PurpleAir_Zen,Away,2025-11-01,20:28:40,Control,Session 2,84.46
47,PurpleAir_Zen,Away,2025-11-01,20:30:40,Control,Session 2,81.72
48,PurpleAir_Zen,Away,2025-11-01,20:32:40,Control,Session 2,84.52
49,PurpleAir_Zen,Away,2025-11-01,20:34:40,Control,Session 2,81.41
50,PurpleAir_Zen,Away,2025-11-01,20:36:40,Control,Session 2,82.47
51,PurpleAir_Zen,Away,2025-11-01,20:38:40,Control,Session 2,82.82
52,PurpleAir_Zen,Away,2025-11-01,20:40:40,Control,Session 2,90.95
53,PurpleAir_Zen,Away,2025-11-01,20:42:40,Control,Session 2,83.87
54,PurpleAir_Zen,Away,2025-11-01,20:44:22,Control,Session 2,
55,PurpleAir_Zen,Away,2025-11-01,20:46:22,Control,Session 2,80.56
56,PurpleAir_Zen,Away,2025-11-01,20:48:22,Control,Session 2,82.1
57,PurpleAir_Zen,Away,2025-11-01,20:50:22,Control,Session 2,81.6
58,PurpleAir_Zen,Away,2025-11-01,20:52:22,Control,Session 2,88.74
59,PurpleAir_Zen,Away,2025-11-01,20:54:22,Control,Session 2,
60,PurpleAir_Zen,Away,2025-11-01,20:56:22,Control,Session 2,88.72
61,PurpleAir_Zen,Away,2025-11-01,20:58:22,Control,Session 2,84.76
