,timestamp_iso,sample_rh,sample_temp,opc_pm25,opc_pm10
0,2025-10-25 18:58:54+00:00,35.64,18.62,0.0,0.0
1,2025-10-25 18:58:59+00:00,35.83,18.58,1.472,1.771
2,2025-10-25 18:59:04+00:00,35.34,18.59,0.734,0.734
3,2025-10-25 18:59:09+00:00,35.04,18.59,0.843,0.843
4,2025-10-25 18:59:14+00:00,35.41,18.59,0.799,0.799
5,2025-10-25 18:59:19+00:00,36.19,18.56,1.643,1.65
6,2025-10-25 18:59:24+00:00,37.07,18.58,1.47,1.76
7,2025-10-25 18:59:29+00:00,36.18,18.56,1.171,1.212
8,2025-10-25 18:59:34+00:00,35.79,18.56,2.1,5.939
9,2025-10-25 18:59:39+00:00,35.18,18.55,1.051,1.057
10,2025-10-25 18:59:44+00:00,32.7,18.56,1.888,2.205
11,2025-10-25 18:59:49+00:00,32.4,18.55,0.774,0.774
12,2025-10-25 18:59:54+00:00,31.91,18.53,1.028,1.034
13,2025-10-25 18:59:59+00:00,31.15,18.55,0.71,0.71
14,2025-10-25 19:00:04+00:00,31.36,18.53,0.992,0.993
15,2025-10-25 19:00:09+00:00,32.54,18.53,1.546,1.624
16,2025-10-25 19:00:14+00:00,32.72,18.53,0.502,0.503
17,2025-10-25 19:00:19+00:00,31.64,18.55,0.595,0.599
18,2025-10-25 19:00:24+00:00,30.76,18.53,0.683,0.688
19,2025-10-25 19:00:29+00:00,30.72,18.53,0.786,0.821
20,2025-10-25 19:00:34+00:00,31.6,18.51,0.968,1.011
21,2025-10-25 19:00:39+00:00,31.84,18.53,1.789,2.059
22,2025-10-25 19:00:44+00:00,31.53,18.52,2.048,10.212
23,2025-10-25 19:00:49+00:00,31.35,18.53,1.554,2.521
27,2025-10-25 19:00:53+00:00,32.07,18.53,0.383,0.384
24,2025-10-25 19:00:54+00:00,30.76,18.55,0.522,0.526
28,2025-10-25 19:00:58+00:00,32.1,18.55,0.332,0.332
25,2025-10-25 19:00:59+00:00,31.35,18.53,0.557,0.558
29,2025-10-25 19:01:03+00:00,31.77,18.55,2.021,3.849
30,2025-10-25 19:01:08+00:00,31.35,18.55,0.555,0.556
31,2025-10-25 19:01:13+00:00,30.2,18.52,0.35,0.35
26,2025-10-25 19:01:15+00:00,32.51,18.55,0.774,0.864
32,2025-10-25 19:01:18+00:00,29.57,18.53,0.337,0.337
33,2025-10-25 19:01:23+00:00,29.87,18.53,0.586,0.587
34,2025-10-25 19:01:28+00:00,29.95,18.53,0.422,0.423
35,2025-10-25 19:01:33+00:00,30.84,18.53,0.359,23.157
36,2025-10-25 19:01:38+00:00,30.79,18.52,0.288,0.288
37,2025-10-25 19:01:43+00:00,29.29,18.49,0.985,1.865
38,2025-10-25 19:01:48+00:00,29.11,18.51,0.303,0.304
39,2025-10-25 19:01:53+00:00,29.74,18.46,1.239,15.709
40,2025-10-25 19:01:58+00:00,29.96,18.49,1.828,8.978
41,2025-10-25 19:02:03+00:00,30.66,18.46,0.769,0.799
42,2025-10-25 19:02:08+00:00,29.99,18.45,0.449,0.452
43,2025-10-25 19:02:13+00:00,29.46,18.46,0.435,0.465
44,2025-10-25 19:02:18+00:00,28.97,18.45,0.146,0.146
45,2025-10-25 19:02:23+00:00,28.52,18.43,0.511,0.519
46,2025-10-25 19:02:28+00:00,28.37,18.42,0.228,0.228
47,2025-10-25 19:02:33+00:00,29.19,18.42,0.925,0.985
48,2025-10-25 19:02:38+00:00,30.41,18.41,0.526,0.555
49,2025-10-25 19:02:43+00:00,31.06,18.41,0.364,0.365
50,2025-10-25 19:02:48+00:00,31.63,18.39,1.249,17.913
51,2025-10-25 19:02:53+00:00,32.0,18.39,0.33,0.331
52,2025-10-25 19:02:58+00:00,31.55,18.39,0.851,1.732
53,2025-10-25 19:03:03+00:00,31.44,18.38,0.281,0.281
54,2025-10-25 19:03:08+00:00,31.48,18.38,0.406,0.406
55,2025-10-25 19:03:13+00:00,31.07,18.39,0.677,0.677
56,2025-10-25 19:03:18+00:00,30.37,18.38,1.445,1.656
57,2025-10-25 19:03:23+00:00,30.65,18.36,1.386,1.6
58,2025-10-25 19:03:28+00:00,29.8,18.35,1.278,2.182
59,2025-10-25 19:03:33+00:00,29.02,18.33,0.69,0.691
60,2025-10-25 19:03:38+00:00,29.17,18.33,0.654,0.654
61,2025-10-25 19:03:43+00:00,30.26,18.35,0.649,0.654
62,2025-10-25 19:03:48+00:00,30.61,18.35,1.051,1.994
63,2025-10-25 19:03:53+00:00,29.52,18.31,0.631,0.636
64,2025-10-25 19:03:58+00:00,29.07,18.29,0.5,0.504
65,2025-10-25 19:04:03+00:00,29.14,18.31,0.428,0.428
66,2025-10-25 19:04:08+00:00,29.56,18.31,0.583,0.587
67,2025-10-25 19:04:13+00:00,30.08,18.29,0.469,0.47
68,2025-10-25 19:04:18+00:00,30.29,18.29,0.793,0.83
69,2025-10-25 19:04:23+00:00,30.37,18.27,0.57,0.603
70,2025-10-25 19:04:28+00:00,30.17,18.27,0.52,0.52
71,2025-10-25 19:04:33+00:00,30.03,18.27,0.321,0.321
72,2025-10-25 19:04:38+00:00,30.08,18.27,0.92,1.118
73,2025-10-25 19:04:43+00:00,29.75,18.24,0.529,0.559
74,2025-10-25 19:04:48+00:00,29.03,18.24,0.658,0.689
75,2025-10-25 19:04:53+00:00,29.1,18.24,0.422,0.422
76,2025-10-25 19:04:58+00:00,29.19,18.25,0.659,0.69
77,2025-10-25 19:05:03+00:00,29.29,18.22,1.13,1.191
78,2025-10-25 19:05:08+00:00,29.29,18.22,0.823,14.089
79,2025-10-25 19:05:13+00:00,29.58,18.24,0.973,14.268
80,2025-10-25 19:05:18+00:00,29.49,18.19,1.885,7.384
81,2025-10-25 19:05:23+00:00,29.97,18.18,0.637,0.637
82,2025-10-25 19:05:28+00:00,30.25,18.18,0.52,0.521
83,2025-10-25 19:05:33+00:00,31.14,18.19,0.454,0.454
84,2025-10-25 19:05:38+00:00,31.79,18.15,0.418,0.419
85,2025-10-25 19:05:43+00:00,31.49,18.16,0.692,0.727
86,2025-10-25 19:05:48+00:00,31.07,18.16,0.186,0.186
87,2025-10-25 19:05:53+00:00,31.2,18.15,0.493,0.524
88,2025-10-25 19:05:58+00:00,30.3,18.12,0.248,0.248
89,2025-10-25 19:06:03+00:00,29.47,18.12,0.184,0.184
90,2025-10-25 19:06:08+00:00,29.42,18.11,0.209,0.209
91,2025-10-25 19:06:13+00:00,29.59,18.11,0.258,0.258
92,2025-10-25 19:06:18+00:00,29.67,18.11,0.941,1.812
93,2025-10-25 19:06:23+00:00,29.56,18.09,0.932,1.129
94,2025-10-25 19:06:28+00:00,29.35,18.09,0.37,0.371
95,2025-10-25 19:06:33+00:00,29.31,18.09,0.412,0.416
96,2025-10-25 19:06:38+00:00,29.78,18.08,0.228,0.228
97,2025-10-25 19:06:43+00:00,30.14,18.07,0.346,0.35
98,2025-10-25 19:06:48+00:00,31.15,18.04,0.535,0.564
99,2025-10-25 19:06:53+00:00,33.23,18.05,0.964,1.792
100,2025-10-25 19:06:58+00:00,32.78,18.05,0.361,0.365
101,2025-10-25 19:07:03+00:00,31.92,18.02,0.244,0.244
102,2025-10-25 19:07:08+00:00,31.37,18.02,0.629,0.817
103,2025-10-25 19:07:13+00:00,31.35,18.02,0.251,0.251
104,2025-10-25 19:07:18+00:00,31.34,18.04,0.677,0.864
105,2025-10-25 19:07:23+00:00,31.27,18.0,0.33,0.33
106,2025-10-25 19:07:28+00:00,31.55,18.01,0.709,0.766
107,2025-10-25 19:07:33+00:00,31.23,18.0,0.792,1.61
108,2025-10-25 19:07:38+00:00,30.17,17.98,1.07,1.313
109,2025-10-25 19:07:43+00:00,29.97,17.97,0.182,0.182
110,2025-10-25 19:07:48+00:00,30.26,17.97,0.379,0.386
111,2025-10-25 19:07:53+00:00,30.8,17.95,0.209,0.209
112,2025-10-25 19:07:58+00:00,31.03,17.92,0.438,0.469
113,2025-10-25 19:08:03+00:00,31.03,17.92,0.141,0.141
114,2025-10-25 19:08:08+00:00,31.21,17.91,0.157,0.157
115,2025-10-25 19:08:13+00:00,32.1,17.91,0.196,0.196
