Time_Stamp,Instrument_ID,Prox_to_xroad,Date,Time,Condition,Session,IAQ
1,PurpleAir_Zen,Away,2025-10-26,19:00:04,Intervention,Session 1,74.59
2,PurpleAir_Zen,Away,2025-10-26,19:02:04,Intervention,Session 1,75.2
3,PurpleAir_Zen,Away,2025-10-26,19:04:04,Intervention,Session 1,74.36
4,PurpleAir_Zen,Away,2025-10-26,19:05:45,Intervention,Session 1,
5,PurpleAir_Zen,Away,2025-10-26,19:07:45,Intervention,Session 1,75.05
6,PurpleAir_Zen,Away,2025-10-26,19:09:45,Intervention,Session 1,75.11
7,PurpleAir_Zen,Away,2025-10-26,19:11:45,Intervention,Session 1,75.72
8,PurpleAir_Zen,Away,2025-10-26,19:13:45,Intervention,Session 1,76.56
9,PurpleAir_Zen,Away,2025-10-26,19:15:45,Intervention,Session 1,78.81
10,PurpleAir_Zen,Away,2025-10-26,19:17:45,Intervention,Session 1,77.93
11,PurpleAir_Zen,Away,2025-10-26,19:19:45,Intervention,Session 1,79.2
12,PurpleAir_Zen,Away,2025-10-26,19:21:45,Intervention,Session 1,79.37
13,PurpleAir_Zen,Away,2025-10-26,19:23:45,Intervention,Session 1,79.41
14,PurpleAir_Zen,Away,2025-10-26,19:25:27,Intervention,Session 1,
15,PurpleAir_Zen,Away,2025-10-26,19:27:27,Intervention,Session 1,
16,PurpleAir_Zen,Away,2025-10-26,19:29:27,Intervention,Session 1,75.68
17,PurpleAir_Zen,Away,2025-10-26,19:31:27,Intervention,Session 1,77.52
18,PurpleAir_Zen,Away,2025-10-26,19:33:27,Intervention,Session 1,79.32
19,PurpleAir_Zen,Away,2025-10-26,19:35:27,Intervention,Session 1,79.24
20,PurpleAir_Zen,Away,2025-10-26,19:37:27,Intervention,Session 1,79.58
21,PurpleAir_Zen,Away,2025-10-26,19:39:27,Intervention,Session 1,77.93
22,PurpleAir_Zen,Away,2025-10-26,19:41:27,Intervention,Session 1,75.77
23,PurpleAir_Zen,Away,2025-10-26,19:43:27,Intervention,Session 1,74.72
24,PurpleAir_Zen,Away,2025-10-26,19:45:08,Intervention,Session 1,
25,PurpleAir_Zen,Away,2025-10-26,19:47:08,Intervention,Session 1,74.14
26,PurpleAir_Zen,Away,2025-10-26,19:49:08,Intervention,Session 1,
27,PurpleAir_Zen,Away,2025-10-26,19:51:08,Intervention,Session 1,79.57
28,PurpleAir_Zen,Away,2025-10-26,19:53:08,Intervention,Session 1,79.25
29,PurpleAir_Zen,Away,2025-10-26,19:55:08,Intervention,Session 1,78.5
30,PurpleAir_Zen,Away,2025-10-26,19:57:08,Intervention,Session 1,77.76
31,PurpleAir_Zen,Away,2025-10-26,19:59:08,Intervention,Session 1,82.62
32,PurpleAir_Zen,Away,2025-10-26,20:01:08,Intervention,Session 1,78.09
33,PurpleAir_Zen,Away,2025-10-26,20:03:08,Intervention,Session 1,78.43
34,PurpleAir_Zen,Away,2025-10-26,20:04:50,Intervention,Session 1,
35,PurpleAir_Zen,Away,2025-10-26,20:06:50,Intervention,Session 1,76.73
36,PurpleAir_Zen,Away,2025-10-26,20:08:50,Intervention,Session 1,77.3
37,PurpleAir_Zen,Away,2025-10-26,20:10:50,Intervention,Session 1,77.39
38,PurpleAir_Zen,Away,2025-10-26,20:12:50,Intervention,Session 1,79.01
39,PurpleAir_Zen,Away,2025-10-26,20:14:50,Intervention,Session 1,78.71
40,PurpleAir_Zen,Away,2025-10-26,20:16:50,Intervention,Session 1,76.32
41,PurpleAir_Zen,Away,2025-10-26,20:18:50,Intervention,Session 1,77.62
42,PurpleAir_Zen,Away,2025-10-26,20:20:50,Intervention,Session 1,77.97
43,PurpleAir_Zen,Away,2025-10-26,20:22:50,Intervention,Session 1,78.97
44,PurpleAir_Zen,Away,2025-10-26,20:24:31,Intervention,Session 1,
45,PurpleAir_Zen,Away,2025-10-26,20:26:31,Intervention,Session 1,78.89
46,PurpleAir_Zen,Away,2025-10-26,20:28:31,Intervention,Session 1,81.74
47,PurpleAir_Zen,Away,2025-10-26,20:30:31,Intervention,Session 1,85.08
48,PurpleAir_Zen,Away,2025-10-26,20:32:31,Intervention,Session 1,84.46
49,PurpleAir_Zen,Away,2025-10-26,20:34:31,Intervention,Session 1,83.85
50,PurpleAir_Zen,Away,2025-10-26,20:36:31,Intervention,Session 1,83.27
51,PurpleAir_Zen,Away,2025-10-26,20:38:31,Intervention,Session 1,82.25
52,PurpleAir_Zen,Away,2025-10-26,20:40:31,Intervention,Session 1,78.8
53,PurpleAir_Zen,Away,2025-10-26,20:42:31,Intervention,Session 1,77.59
54,PurpleAir_Zen,Away,2025-10-26,20:44:13,Intervention,Session 1,
55,PurpleAir_Zen,Away,2025-10-26,20:46:13,Intervention,Session 1,80.23
56,PurpleAir_Zen,Away,2025-10-26,20:48:13,Intervention,Session 1,81.11
57,PurpleAir_Zen,Away,2025-10-26,20:50:13,Intervention,Session 1,
58,PurpleAir_Zen,Away,2025-10-26,20:52:13,Intervention,Session 1,82.22
59,PurpleAir_Zen,Away,2025-10-26,20:54:13,Intervention,Session 1,80.74
60,PurpleAir_Zen,Away,2025-10-26,20:56:13,Intervention,Session 1,83.0
61,PurpleAir_Zen,Away,2025-10-26,20:58:13,Intervention,Session 1,83.36
