Time_Stamp,Instrument_ID,Prox_to_xroad,Date,Time,Condition,Session,IAQ_0-500
1,PurpleAir_Zen,Away,2025-11-02,20:01:02,Intervention,Session 2,86.4
2,PurpleAir_Zen,Away,2025-11-02,20:03:02,Intervention,Session 2,79.84
3,PurpleAir_Zen,Away,2025-11-02,20:05:02,Intervention,Session 2,76.33
4,PurpleAir_Zen,Away,2025-11-02,20:07:02,Intervention,Session 2,75.79
5,PurpleAir_Zen,Away,2025-11-02,20:08:43,Intervention,Session 2,
6,PurpleAir_Zen,Away,2025-11-02,20:10:43,Intervention,Session 2,75.06
7,PurpleAir_Zen,Away,2025-11-02,20:12:43,Intervention,Session 2,76.43
8,PurpleAir_Zen,Away,2025-11-02,20:14:43,Intervention,Session 2,77.25
9,PurpleAir_Zen,Away,2025-11-02,20:16:43,Intervention,Session 2,77.22
10,PurpleAir_Zen,Away,2025-11-02,20:18:43,Intervention,Session 2,76.96
11,PurpleAir_Zen,Away,2025-11-02,20:20:43,Intervention,Session 2,77.79
12,PurpleAir_Zen,Away,2025-11-02,20:22:43,Intervention,Session 2,76.61
13,PurpleAir_Zen,Away,2025-11-02,20:24:43,Intervention,Session 2,75.4
14,PurpleAir_Zen,Away,2025-11-02,20:26:43,Intervention,Session 2,76.05
15,PurpleAir_Zen,Away,2025-11-02,20:28:25,Intervention,Session 2,
16,PurpleAir_Zen,Away,2025-11-02,20:30:25,Intervention,Session 2,75.77
17,PurpleAir_Zen,Away,2025-11-02,20:32:25,Intervention,Session 2,75.48
18,PurpleAir_Zen,Away,2025-11-02,20:34:25,Intervention,Session 2,
19,PurpleAir_Zen,Away,2025-11-02,20:36:25,Intervention,Session 2,76.22
20,PurpleAir_Zen,Away,2025-11-02,20:38:25,Intervention,Session 2,
21,PurpleAir_Zen,Away,2025-11-02,20:40:25,Intervention,Session 2,79.21
22,PurpleAir_Zen,Away,2025-11-02,20:42:25,Intervention,Session 2,78.44
23,PurpleAir_Zen,Away,2025-11-02,20:44:25,Intervention,Session 2,77.91
24,PurpleAir_Zen,Away,2025-11-02,20:46:25,Intervention,Session 2,78.73
25,PurpleAir_Zen,Away,2025-11-02,20:48:07,Intervention,Session 2,
26,PurpleAir_Zen,Away,2025-11-02,20:50:07,Intervention,Session 2,75.86
27,PurpleAir_Zen,Away,2025-11-02,20:52:07,Intervention,Session 2,77.82
28,PurpleAir_Zen,Away,2025-11-02,20:54:07,Intervention,Session 2,77.99
29,PurpleAir_Zen,Away,2025-11-02,20:56:07,Intervention,Session 2,
30,PurpleAir_Zen,Away,2025-11-02,20:58:07,Intervention,Session 2,78.56
31,PurpleAir_Zen,Away,2025-11-02,21:00:07,Intervention,Session 2,77.84
32,PurpleAir_Zen,Away,2025-11-02,21:02:07,Intervention,Session 2,78.97
33,PurpleAir_Zen,Away,2025-11-02,21:04:07,Intervention,Session 2,78.07
34,PurpleAir_Zen,Away,2025-11-02,21:06:07,Intervention,Session 2,78.68
35,PurpleAir_Zen,Away,2025-11-02,21:07:48,Intervention,Session 2,
36,PurpleAir_Zen,Away,2025-11-02,21:09:48,Intervention,Session 2,79.05
37,PurpleAir_Zen,Away,2025-11-02,21:11:48,Intervention,Session 2,80.2
38,PurpleAir_Zen,Away,2025-11-02,21:13:48,Intervention,Session 2,79.87
39,PurpleAir_Zen,Away,2025-11-02,21:15:48,Intervention,Session 2,80.31
40,PurpleAir_Zen,Away,2025-11-02,21:17:48,Intervention,Session 2,79.63
41,PurpleAir_Zen,Away,2025-11-02,21:19:48,Intervention,Session 2,79.54
42,PurpleAir_Zen,Away,2025-11-02,21:21:48,Intervention,Session 2,79.69
43,PurpleAir_Zen,Away,2025-11-02,21:23:48,Intervention,Session 2,80.94
44,PurpleAir_Zen,Away,2025-11-02,21:25:48,Intervention,Session 2,81.03
45,PurpleAir_Zen,Away,2025-11-02,21:27:30,Intervention,Session 2,
46,PurpleAir_Zen,Away,2025-11-02,21:29:30,Intervention,Session 2,81.74
47,PurpleAir_Zen,Away,2025-11-02,21:31:30,Intervention,Session 2,83.59
48,PurpleAir_Zen,Away,2025-11-02,21:33:30,Intervention,Session 2,83.06
49,PurpleAir_Zen,Away,2025-11-02,21:35:30,Intervention,Session 2,83.95
50,PurpleAir_Zen,Away,2025-11-02,21:37:30,Intervention,Session 2,84.78
51,PurpleAir_Zen,Away,2025-11-02,21:39:30,Intervention,Session 2,84.66
52,PurpleAir_Zen,Away,2025-11-02,21:41:30,Intervention,Session 2,83.72
53,PurpleAir_Zen,Away,2025-11-02,21:43:30,Intervention,Session 2,84.25
54,PurpleAir_Zen,Away,2025-11-02,21:45:30,Intervention,Session 2,86.3
55,PurpleAir_Zen,Away,2025-11-02,21:47:12,Intervention,Session 2,
56,PurpleAir_Zen,Away,2025-11-02,21:49:12,Intervention,Session 2,84.87
57,PurpleAir_Zen,Away,2025-11-02,21:51:12,Intervention,Session 2,85.08
58,PurpleAir_Zen,Away,2025-11-02,21:53:12,Intervention,Session 2,85.2
59,PurpleAir_Zen,Away,2025-11-02,21:55:12,Intervention,Session 2,88.99
60,PurpleAir_Zen,Away,2025-11-02,21:57:12,Intervention,Session 2,91.55
61,PurpleAir_Zen,Away,2025-11-02,21:59:12,Intervention,Session 2,90.0
