,timestamp_iso,sample_rh,sample_temp,opc_pm25,opc_pm10
2478,2025-11-01 19:00:04+00:00,30.06,18.93,0.77,1.472
2479,2025-11-01 19:00:09+00:00,29.99,18.93,0.461,0.467
2480,2025-11-01 19:00:14+00:00,29.47,18.92,0.463,0.491
2481,2025-11-01 19:00:19+00:00,29.81,18.9,0.494,0.518
2482,2025-11-01 19:00:24+00:00,29.94,18.9,0.298,0.301
2483,2025-11-01 19:00:29+00:00,29.77,18.89,0.149,0.149
2484,2025-11-01 19:00:34+00:00,29.19,18.84,0.718,6.363
2485,2025-11-01 19:00:39+00:00,28.94,18.83,0.959,3.186
2486,2025-11-01 19:00:44+00:00,28.81,18.77,0.485,0.486
2487,2025-11-01 19:00:49+00:00,28.57,18.8,1.1,3.296
2488,2025-11-01 19:00:54+00:00,28.67,18.76,0.191,0.191
2489,2025-11-01 19:00:59+00:00,29.0,18.73,0.514,0.54
2490,2025-11-01 19:01:04+00:00,28.94,18.72,0.15,0.15
2491,2025-11-01 19:01:09+00:00,29.88,18.72,0.12,0.12
2492,2025-11-01 19:01:14+00:00,29.78,18.69,0.208,0.211
2493,2025-11-01 19:01:19+00:00,29.53,18.66,0.155,0.155
2494,2025-11-01 19:01:24+00:00,29.79,18.63,0.367,0.373
2495,2025-11-01 19:01:29+00:00,30.13,18.66,1.167,3.545
2496,2025-11-01 19:01:34+00:00,30.55,18.63,0.158,0.158
2497,2025-11-01 19:01:39+00:00,30.61,18.6,0.621,0.669
2498,2025-11-01 19:01:44+00:00,30.77,18.59,0.76,6.523
2499,2025-11-01 19:01:49+00:00,31.07,18.58,0.397,0.421
2500,2025-11-01 19:01:54+00:00,31.41,18.56,0.174,0.174
2501,2025-11-01 19:01:59+00:00,31.17,18.55,0.344,18.458
2502,2025-11-01 19:02:04+00:00,30.47,18.53,0.346,0.349
2503,2025-11-01 19:02:09+00:00,30.72,18.53,0.435,0.439
2504,2025-11-01 19:02:14+00:00,30.79,18.53,1.472,1.854
2505,2025-11-01 19:02:19+00:00,31.04,18.52,1.623,8.29
2506,2025-11-01 19:02:24+00:00,30.77,18.46,0.831,3.151
2507,2025-11-01 19:02:29+00:00,30.66,18.48,1.72,2.752
2508,2025-11-01 19:02:34+00:00,30.52,18.48,1.498,6.069
2509,2025-11-01 19:02:39+00:00,30.52,18.45,0.242,0.245
2510,2025-11-01 19:02:44+00:00,30.89,18.42,0.177,0.177
2511,2025-11-01 19:02:49+00:00,30.48,18.42,0.866,1.595
2512,2025-11-01 19:02:54+00:00,30.41,18.41,1.495,2.517
