,timestamp_iso,sample_rh,sample_temp,opc_pm25,opc_pm10
152,2025-11-02 20:00:01+00:00,27.78,19.35,0.069,0.069
153,2025-11-02 20:00:06+00:00,27.89,19.34,0.056,0.056
154,2025-11-02 20:00:11+00:00,27.83,19.31,0.16,0.16
155,2025-11-02 20:00:16+00:00,27.64,19.3,0.579,0.749
156,2025-11-02 20:00:21+00:00,27.64,19.27,0.336,0.361
157,2025-11-02 20:00:26+00:00,27.94,19.24,0.356,0.382
158,2025-11-02 20:00:31+00:00,27.83,19.24,0.078,0.078
159,2025-11-02 20:00:36+00:00,27.67,19.21,0.128,0.128
160,2025-11-02 20:00:41+00:00,27.93,19.18,0.297,0.323
161,2025-11-02 20:00:46+00:00,28.29,19.17,0.205,0.208
162,2025-11-02 20:00:51+00:00,28.5,19.15,0.167,0.168
163,2025-11-02 20:00:56+00:00,28.79,19.13,0.106,0.106
164,2025-11-02 20:01:01+00:00,28.95,19.11,0.352,0.378
165,2025-11-02 20:01:06+00:00,29.01,19.07,0.496,0.667
166,2025-11-02 20:01:11+00:00,28.98,19.07,0.952,13.711
167,2025-11-02 20:01:16+00:00,28.45,19.03,0.128,0.128
168,2025-11-02 20:01:21+00:00,27.69,19.0,0.79,6.835
169,2025-11-02 20:01:26+00:00,27.59,18.97,0.848,3.222
170,2025-11-02 20:01:31+00:00,27.73,18.96,0.132,0.132
171,2025-11-02 20:01:36+00:00,27.75,18.92,0.16,0.16
172,2025-11-02 20:01:41+00:00,27.82,18.92,0.131,0.131
173,2025-11-02 20:01:46+00:00,28.18,18.9,0.076,0.076
174,2025-11-02 20:01:51+00:00,28.45,18.86,0.214,0.217
175,2025-11-02 20:01:56+00:00,28.77,18.82,0.082,0.082
176,2025-11-02 20:02:01+00:00,28.77,18.8,0.071,0.071
177,2025-11-02 20:02:06+00:00,28.3,18.77,0.138,0.138
178,2025-11-02 20:02:11+00:00,27.98,18.73,0.173,0.177
179,2025-11-02 20:02:16+00:00,28.11,18.73,0.218,0.218
180,2025-11-02 20:02:21+00:00,28.13,18.69,0.261,0.264
181,2025-11-02 20:02:26+00:00,28.11,18.66,0.19,0.193
182,2025-11-02 20:02:31+00:00,28.14,18.63,0.223,0.226
183,2025-11-02 20:02:36+00:00,28.22,18.6,0.095,0.095
184,2025-11-02 20:02:41+00:00,28.53,18.58,0.105,0.105
185,2025-11-02 20:02:46+00:00,28.93,18.53,0.136,0.136
186,2025-11-02 20:02:51+00:00,28.62,18.49,0.192,0.192
187,2025-11-02 20:02:56+00:00,28.54,18.49,0.231,0.232
188,2025-11-02 20:03:01+00:00,28.63,18.46,0.095,0.095
189,2025-11-02 20:03:06+00:00,28.54,18.43,0.234,0.235
190,2025-11-02 20:03:11+00:00,28.72,18.42,0.097,0.097
191,2025-11-02 20:03:16+00:00,28.73,18.39,0.083,0.083
192,2025-11-02 20:03:21+00:00,28.75,18.33,0.109,0.109
193,2025-11-02 20:03:26+00:00,29.0,18.35,0.313,0.338
194,2025-11-02 20:03:31+00:00,28.96,18.31,0.075,0.075
195,2025-11-02 20:03:36+00:00,29.18,18.32,0.146,0.146
196,2025-11-02 20:03:41+00:00,29.17,18.29,0.112,0.113
197,2025-11-02 20:03:46+00:00,29.12,18.24,0.098,0.098
198,2025-11-02 20:03:51+00:00,29.14,18.21,0.14,0.14
199,2025-11-02 20:03:56+00:00,29.55,18.22,1.267,7.989
200,2025-11-02 20:04:01+00:00,30.21,18.18,0.146,0.147
201,2025-11-02 20:04:06+00:00,30.47,18.16,0.411,0.436
202,2025-11-02 20:04:11+00:00,30.19,18.16,0.971,3.331
203,2025-11-02 20:04:16+00:00,30.03,18.15,0.255,0.258
204,2025-11-02 20:04:21+00:00,29.98,18.11,0.376,0.401
205,2025-11-02 20:04:26+00:00,29.76,18.08,0.103,0.103
206,2025-11-02 20:04:31+00:00,29.48,18.08,0.096,0.096
207,2025-11-02 20:04:36+00:00,29.31,18.05,0.744,0.934
208,2025-11-02 20:04:41+00:00,29.29,18.01,0.196,0.196
209,2025-11-02 20:04:46+00:00,29.46,18.02,0.512,0.676
210,2025-11-02 20:04:51+00:00,29.68,18.0,0.158,0.158
211,2025-11-02 20:04:56+00:00,30.03,17.95,0.68,1.42
212,2025-11-02 20:05:01+00:00,30.07,17.95,0.081,0.081
213,2025-11-02 20:05:06+00:00,30.04,17.91,0.197,0.2
214,2025-11-02 20:05:11+00:00,29.48,17.88,0.513,0.682
215,2025-11-02 20:05:16+00:00,29.31,17.87,0.355,0.381
216,2025-11-02 20:05:21+00:00,29.41,17.85,0.127,0.127
217,2025-11-02 20:05:26+00:00,29.61,17.84,0.084,0.084
218,2025-11-02 20:05:31+00:00,29.82,17.82,0.241,0.245
219,2025-11-02 20:05:36+00:00,29.86,17.77,0.121,0.121
220,2025-11-02 20:05:41+00:00,30.19,17.78,0.365,0.391
221,2025-11-02 20:05:46+00:00,30.5,17.74,0.139,0.139
222,2025-11-02 20:05:51+00:00,30.15,17.73,0.066,0.066
223,2025-11-02 20:05:56+00:00,30.5,17.71,0.093,0.093
224,2025-11-02 20:06:01+00:00,30.35,17.7,0.093,0.093
225,2025-11-02 20:06:06+00:00,30.08,17.64,0.221,0.222
226,2025-11-02 20:06:11+00:00,30.38,17.64,0.11,0.11
227,2025-11-02 20:06:16+00:00,30.8,17.6,0.111,0.111
228,2025-11-02 20:06:21+00:00,30.79,17.6,0.114,0.114
229,2025-11-02 20:06:26+00:00,30.32,17.59,0.114,0.114
230,2025-11-02 20:06:31+00:00,30.39,17.59,0.047,0.047
231,2025-11-02 20:06:36+00:00,30.88,17.57,0.833,3.28
232,2025-11-02 20:06:41+00:00,31.63,17.53,0.145,0.145
233,2025-11-02 20:06:46+00:00,32.0,17.49,0.431,20.066
234,2025-11-02 20:06:51+00:00,32.07,17.46,0.516,0.692
235,2025-11-02 20:06:56+00:00,31.62,17.46,0.107,0.107
236,2025-11-02 20:07:01+00:00,31.71,17.46,0.241,27.406
237,2025-11-02 20:07:06+00:00,31.21,17.41,0.131,0.131
238,2025-11-02 20:07:11+00:00,30.62,17.4,0.104,0.104
239,2025-11-02 20:07:16+00:00,30.79,17.4,0.125,0.125
240,2025-11-02 20:07:21+00:00,30.75,17.34,0.361,0.388
241,2025-11-02 20:07:26+00:00,31.07,17.36,0.145,0.145
242,2025-11-02 20:07:31+00:00,30.86,17.3,0.14,0.14
243,2025-11-02 20:07:36+00:00,30.61,17.3,0.38,0.407
244,2025-11-02 20:07:41+00:00,30.67,17.29,0.073,0.073
245,2025-11-02 20:07:46+00:00,30.47,17.26,0.168,0.168
246,2025-11-02 20:07:51+00:00,30.48,17.23,0.126,0.127
247,2025-11-02 20:07:56+00:00,30.72,17.2,0.062,0.062
248,2025-11-02 20:08:01+00:00,30.45,17.2,0.058,0.058
