Time_Stamp,Instrument_ID,Date,Time,Condition,Session,Prox_to_xroad,Relative_Humidity_%,Temperature_C,PM25_ug/m3,PM10_ug/m3
1,384,2025-10-25,19:00:00,Control,Session 1,Away,30.434166666666666,19.028333333333332,0.42416666666666664,0.54
2,384,2025-10-25,19:01:00,Control,Session 1,Away,29.264166666666668,19.040000000000003,0.5995,1.1460833333333333
3,384,2025-10-25,19:02:00,Control,Session 1,Away,29.26,19.0775,0.47341666666666665,1.1480833333333333
4,384,2025-10-25,19:03:00,Control,Session 1,Away,29.120833333333334,19.01,0.511,0.7873333333333333
5,384,2025-10-25,19:04:00,Control,Session 1,Away,28.833333333333332,18.929166666666667,0.4856666666666667,1.4422499999999998
6,384,2025-10-25,19:05:00,Control,Session 1,Away,29.300833333333333,18.795,0.41333333333333333,0.4730833333333333
7,384,2025-10-25,19:06:00,Control,Session 1,Away,30.314166666666665,18.700833333333332,0.4103333333333334,0.51025
8,384,2025-10-25,19:07:00,Control,Session 1,Away,30.701666666666668,18.621666666666666,0.8698333333333332,1.2305
9,384,2025-10-25,19:08:00,Control,Session 1,Away,33.068333333333335,18.540833333333335,1.0614166666666667,1.3528333333333336
10,384,2025-10-25,19:09:00,Control,Session 1,Away,32.2575,18.4875,0.6975833333333333,1.4391666666666667
11,384,2025-10-25,19:10:00,Control,Session 1,Away,31.954166666666666,18.420833333333334,0.7364999999999999,1.0054999999999998
12,384,2025-10-25,19:11:00,Control,Session 1,Away,30.941666666666666,18.345,0.8189166666666666,2.2696666666666667
13,384,2025-10-25,19:12:00,Control,Session 1,Away,31.979166666666668,18.276666666666667,0.5300833333333334,0.5754166666666667
14,384,2025-10-25,19:13:00,Control,Session 1,Away,34.32,18.1925,0.40125000000000005,0.44283333333333336
15,384,2025-10-25,19:14:00,Control,Session 1,Away,33.13666666666666,18.1175,0.5198333333333334,1.9086666666666667
16,384,2025-10-25,19:15:00,Control,Session 1,Away,38.1725,18.05333333333333,0.27899999999999997,2.841333333333333
17,384,2025-10-25,19:16:00,Control,Session 1,Away,36.219166666666666,17.9775,0.34375,0.6569166666666667
18,384,2025-10-25,19:17:00,Control,Session 1,Away,35.76833333333334,17.895,0.16641666666666668,0.2475833333333333
19,384,2025-10-25,19:18:00,Control,Session 1,Away,36.2975,17.824166666666667,0.27875,3.1015833333333336
20,384,2025-10-25,19:19:00,Control,Session 1,Away,35.57,17.745833333333334,0.25566666666666665,0.3628333333333333
21,384,2025-10-25,19:20:00,Control,Session 1,Away,36.098333333333336,17.683333333333334,0.2568333333333333,1.2078333333333333
22,384,2025-10-25,19:21:00,Control,Session 1,Away,38.85,17.607499999999998,0.20891666666666667,0.293
23,384,2025-10-25,19:22:00,Control,Session 1,Away,37.7825,17.55,0.29025,0.9950000000000001
24,384,2025-10-25,19:23:00,Control,Session 1,Away,35.615833333333335,17.609166666666667,0.3760833333333333,1.2143333333333335
25,384,2025-10-25,19:24:00,Control,Session 1,Away,31.323333333333334,17.709166666666665,0.4286666666666667,4.351333333333334
26,384,2025-10-25,19:25:00,Control,Session 1,Away,34.55166666666667,17.820833333333333,0.9491666666666667,1.569333333333333
27,384,2025-10-25,19:26:00,Control,Session 1,Away,36.7475,18.006666666666664,0.7051666666666666,2.129
28,384,2025-10-25,19:27:00,Control,Session 1,Away,34.11,18.194166666666668,0.3665,0.496
29,384,2025-10-25,19:28:00,Control,Session 1,Away,33.82,18.384166666666665,0.32458333333333333,0.41775
30,384,2025-10-25,19:29:00,Control,Session 1,Away,32.72416666666667,18.5775,0.48616666666666664,4.6745833333333335
31,384,2025-10-25,19:30:00,Control,Session 1,Away,31.763333333333332,18.78,0.20341666666666666,0.28375
32,384,2025-10-25,19:31:00,Control,Session 1,Away,29.955833333333334,18.953333333333333,0.31716666666666665,0.5721666666666666
33,384,2025-10-25,19:32:00,Control,Session 1,Away,28.9725,19.049166666666668,0.37000000000000005,0.6723333333333333
34,384,2025-10-25,19:33:00,Control,Session 1,Away,29.473333333333333,19.050833333333333,0.5831666666666667,1.4887499999999998
35,384,2025-10-25,19:34:00,Control,Session 1,Away,29.719166666666666,19.040000000000003,0.3448333333333333,1.0325
36,384,2025-10-25,19:35:00,Control,Session 1,Away,30.5725,19.019166666666667,0.20866666666666667,0.2313333333333333
37,384,2025-10-25,19:36:00,Control,Session 1,Away,31.084999999999997,19.037499999999998,0.1245,0.1245
38,384,2025-10-25,19:37:00,Control,Session 1,Away,29.701666666666668,19.065833333333334,0.21241666666666667,0.2866666666666667
39,384,2025-10-25,19:38:00,Control,Session 1,Away,33.83833333333333,19.134166666666665,0.17500000000000002,0.19316666666666668
40,384,2025-10-25,19:39:00,Control,Session 1,Away,32.093333333333334,19.2075,0.19825,3.0655833333333327
41,384,2025-10-25,19:40:00,Control,Session 1,Away,30.875,19.198333333333334,0.30224999999999996,0.4668333333333334
42,384,2025-10-25,19:41:00,Control,Session 1,Away,29.620833333333334,19.154166666666665,0.6874166666666667,2.1430000000000002
43,384,2025-10-25,19:42:00,Control,Session 1,Away,29.7175,19.10833333333333,0.44575000000000004,1.5466666666666666
44,384,2025-10-25,19:43:00,Control,Session 1,Away,31.790000000000003,19.015833333333333,0.14491666666666667,0.14775000000000002
45,384,2025-10-25,19:44:00,Control,Session 1,Away,30.0425,18.915000000000003,0.2906666666666667,1.0362500000000001
46,384,2025-10-25,19:45:00,Control,Session 1,Away,32.95083333333333,18.791666666666668,0.3334166666666667,0.6895000000000001
47,384,2025-10-25,19:46:00,Control,Session 1,Away,34.678333333333335,18.655833333333334,0.16158333333333333,0.167
48,384,2025-10-25,19:47:00,Control,Session 1,Away,35.233333333333334,18.50916666666667,0.21941666666666668,0.3169166666666667
49,384,2025-10-25,19:48:00,Control,Session 1,Away,32.61166666666667,18.349166666666665,0.63925,1.84525
50,384,2025-10-25,19:49:00,Control,Session 1,Away,31.242500000000003,18.208333333333332,0.15408333333333332,0.17341666666666666
51,384,2025-10-25,19:50:00,Control,Session 1,Away,35.3525,18.07166666666667,0.3801666666666667,1.33925
52,384,2025-10-25,19:51:00,Control,Session 1,Away,35.4575,17.9225,0.15116666666666667,0.157
53,384,2025-10-25,19:52:00,Control,Session 1,Away,33.795,17.82166666666667,0.32316666666666666,0.5196666666666666
54,384,2025-10-25,19:53:00,Control,Session 1,Away,37.464166666666664,17.7775,0.3145833333333333,3.852583333333333
55,384,2025-10-25,19:54:00,Control,Session 1,Away,35.61083333333333,17.691666666666666,0.15316666666666667,0.17166666666666666
56,384,2025-10-25,19:55:00,Control,Session 1,Away,36.6175,17.606666666666666,0.26399999999999996,0.5449166666666666
57,384,2025-10-25,19:56:00,Control,Session 1,Away,37.24166666666667,17.5275,0.18183333333333332,0.26358333333333334
58,384,2025-10-25,19:57:00,Control,Session 1,Away,38.777499999999996,17.519166666666667,0.2871666666666666,0.41133333333333333
59,384,2025-10-25,19:58:00,Control,Session 1,Away,38.64416666666667,17.573333333333334,0.38825,0.8413333333333334
60,384,2025-10-25,19:59:00,Control,Session 1,Away,38.777499999999996,17.679166666666667,0.2871666666666666,0.6355833333333334
61,384,2025-10-25,20:00:00,Control,Session 1,Away,37.69833333333333,17.794166666666666,0.31958333333333333,0.5124166666666666
62,384,2025-10-25,20:01:00,Control,Session 1,Away,35.19,17.933333333333334,0.26691666666666664,0.43375
63,384,2025-10-25,20:02:00,Control,Session 1,Away,35.99333333333333,18.075,0.13341666666666666,0.1366666666666667
64,384,2025-10-25,20:03:00,Control,Session 1,Away,37.375,18.224166666666665,0.23191666666666666,0.9223333333333333
65,384,2025-10-25,20:04:00,Control,Session 1,Away,35.285000000000004,18.378333333333334,0.34758333333333336,0.5339166666666667
66,384,2025-10-25,20:05:00,Control,Session 1,Away,31.281666666666666,18.544166666666666,0.36766666666666664,0.6791666666666667
67,384,2025-10-25,20:06:00,Control,Session 1,Away,32.259166666666665,18.690833333333334,0.38275,0.5123333333333333
68,384,2025-10-25,20:07:00,Control,Session 1,Away,30.239166666666666,18.80333333333333,0.294,3.1795000000000004
69,384,2025-10-25,20:08:00,Control,Session 1,Away,29.698333333333334,18.894166666666667,0.37708333333333327,0.9708333333333333
70,384,2025-10-25,20:09:00,Control,Session 1,Away,31.569166666666664,18.995,0.2295,0.25266666666666665
71,384,2025-10-25,20:10:00,Control,Session 1,Away,33.57666666666667,19.075833333333332,0.25525000000000003,0.5744166666666667
72,384,2025-10-25,20:11:00,Control,Session 1,Away,32.03666666666667,19.105,0.18133333333333335,3.480083333333333
73,384,2025-10-25,20:12:00,Control,Session 1,Away,33.024166666666666,19.153333333333332,0.20033333333333334,0.8279166666666667
74,384,2025-10-25,20:13:00,Control,Session 1,Away,30.041666666666668,19.183333333333334,0.12541666666666665,0.12608333333333333
75,384,2025-10-25,20:14:00,Control,Session 1,Away,29.805833333333336,19.200833333333332,0.2826666666666667,2.8725
76,384,2025-10-25,20:15:00,Control,Session 1,Away,30.521666666666665,19.25166666666667,0.15275,0.1708333333333333
77,384,2025-10-25,20:16:00,Control,Session 1,Away,32.19,19.355,0.15258333333333332,0.1738333333333333
78,384,2025-10-25,20:17:00,Control,Session 1,Away,28.37,19.412499999999998,0.2530833333333333,0.9975833333333334
79,384,2025-10-25,20:18:00,Control,Session 1,Away,28.251666666666665,19.461666666666666,0.32949999999999996,1.0736666666666668
80,384,2025-10-25,20:19:00,Control,Session 1,Away,29.019166666666667,19.5325,0.16466666666666666,0.16758333333333333
81,384,2025-10-25,20:20:00,Control,Session 1,Away,28.99,19.6175,0.29325,0.3203333333333333
82,384,2025-10-25,20:21:00,Control,Session 1,Away,29.514166666666668,19.6825,0.31683333333333336,3.2315
83,384,2025-10-25,20:22:00,Control,Session 1,Away,28.715833333333336,19.733333333333334,0.33266666666666667,1.522916666666667
84,384,2025-10-25,20:23:00,Control,Session 1,Away,28.0625,19.7775,0.41025,2.9205
85,384,2025-10-25,20:24:00,Control,Session 1,Away,27.455833333333334,19.780833333333334,0.33675000000000005,0.6851666666666666
86,384,2025-10-25,20:25:00,Control,Session 1,Away,29.8225,19.775833333333335,0.2776666666666667,0.3329166666666667
87,384,2025-10-25,20:26:00,Control,Session 1,Away,31.149166666666662,19.786666666666665,0.326,0.6546666666666666
88,384,2025-10-25,20:27:00,Control,Session 1,Away,32.47416666666667,19.765833333333333,0.24758333333333335,1.1074166666666667
89,384,2025-10-25,20:28:00,Control,Session 1,Away,33.585,19.724166666666665,0.2213333333333333,0.30416666666666664
90,384,2025-10-25,20:29:00,Control,Session 1,Away,29.325,19.698333333333334,0.13166666666666665,0.15175
91,384,2025-10-25,20:30:00,Control,Session 1,Away,28.585833333333337,19.684166666666666,0.21208333333333332,1.6669166666666666
92,384,2025-10-25,20:31:00,Control,Session 1,Away,29.4225,19.675,0.26816666666666666,1.2166666666666668
93,384,2025-10-25,20:32:00,Control,Session 1,Away,27.776666666666667,19.650000000000002,0.18341666666666667,0.8131666666666666
94,384,2025-10-25,20:33:00,Control,Session 1,Away,28.526666666666667,19.585833333333333,0.2896666666666667,0.4156666666666667
95,384,2025-10-25,20:34:00,Control,Session 1,Away,27.385833333333334,19.486666666666668,0.25433333333333336,0.4073333333333333
96,384,2025-10-25,20:35:00,Control,Session 1,Away,27.5575,19.3275,0.38808333333333334,1.3359166666666669
