Time_Stamp,Instrument_ID,Date,Time,Condition,Trial,Prox_to_xroad,Relative_Humidity,Temperature,PM25,PM10
1,384,2025-11-02,20:00:00,Intervention,Trial 2,Away,32.8725,16.85833333333333,0.29591666666666666,1.0108333333333335
2,384,2025-11-02,20:01:00,Intervention,Trial 2,Away,33.5225,16.61,0.24433333333333332,0.26366666666666666
3,384,2025-11-02,20:02:00,Intervention,Trial 2,Away,34.214999999999996,16.425,0.42841666666666667,0.5581666666666667
4,384,2025-11-02,20:03:00,Intervention,Trial 2,Away,33.795833333333334,16.26,0.35841666666666666,1.1694166666666668
5,384,2025-11-02,20:04:00,Intervention,Trial 2,Away,35.001666666666665,16.103333333333335,0.27658333333333335,0.37283333333333335
6,384,2025-11-02,20:05:00,Intervention,Trial 2,Away,35.869166666666665,15.968333333333334,0.2728333333333333,0.3000833333333333
7,384,2025-11-02,20:06:00,Intervention,Trial 2,Away,35.27916666666667,15.885833333333332,0.21858333333333332,0.22491666666666665
8,384,2025-11-02,20:07:00,Intervention,Trial 2,Away,34.961666666666666,15.792499999999999,0.24216666666666667,0.2564166666666667
9,384,2025-11-02,20:08:00,Intervention,Trial 2,Away,35.58,15.725,0.3293333333333333,1.71075
10,384,2025-11-02,20:09:00,Intervention,Trial 2,Away,34.96583333333333,15.648333333333333,0.5855,1.1910833333333333
11,384,2025-11-02,20:10:00,Intervention,Trial 2,Away,35.399166666666666,15.597499999999998,0.3100833333333333,0.5863333333333334
12,384,2025-11-02,20:11:00,Intervention,Trial 2,Away,35.26833333333333,15.578333333333333,0.3873333333333333,0.7621666666666665
13,384,2025-11-02,20:12:00,Intervention,Trial 2,Away,35.05916666666667,15.575833333333334,0.5066666666666667,0.7873333333333333
14,384,2025-11-02,20:13:00,Intervention,Trial 2,Away,35.89,15.588333333333333,0.22683333333333333,0.24933333333333332
15,384,2025-11-02,20:14:00,Intervention,Trial 2,Away,36.50083333333333,15.581666666666665,0.30441666666666667,0.3631666666666667
16,384,2025-11-02,20:15:00,Intervention,Trial 2,Away,35.78416666666667,15.560833333333333,0.5029166666666667,0.9094166666666667
17,384,2025-11-02,20:16:00,Intervention,Trial 2,Away,34.237500000000004,15.514166666666666,0.6567500000000001,3.7277500000000003
18,384,2025-11-02,20:17:00,Intervention,Trial 2,Away,35.965833333333336,15.450000000000001,0.33549999999999996,0.44316666666666665
19,384,2025-11-02,20:18:00,Intervention,Trial 2,Away,35.965,15.364166666666668,0.2525,0.3538333333333334
20,384,2025-11-02,20:19:00,Intervention,Trial 2,Away,35.943333333333335,15.268333333333333,0.2658333333333333,0.3094166666666667
21,384,2025-11-02,20:20:00,Intervention,Trial 2,Away,36.794999999999995,15.163333333333334,0.20641666666666666,0.20750000000000002
22,384,2025-11-02,20:21:00,Intervention,Trial 2,Away,36.54,15.049166666666666,0.32508333333333334,1.85925
23,384,2025-11-02,20:22:00,Intervention,Trial 2,Away,37.30833333333333,14.934166666666668,0.26933333333333337,0.9439166666666668
24,384,2025-11-02,20:23:00,Intervention,Trial 2,Away,37.196666666666665,14.821666666666667,0.29591666666666666,1.844916666666667
25,384,2025-11-02,20:24:00,Intervention,Trial 2,Away,38.38916666666667,14.719166666666666,0.19258333333333333,0.21425000000000002
26,384,2025-11-02,20:25:00,Intervention,Trial 2,Away,38.31583333333334,14.621666666666668,0.26358333333333334,0.9159166666666666
27,384,2025-11-02,20:26:00,Intervention,Trial 2,Away,37.722500000000004,14.523333333333333,0.291,0.5586666666666666
28,384,2025-11-02,20:27:00,Intervention,Trial 2,Away,38.04,14.458333333333334,0.2930833333333333,0.3199166666666667
29,384,2025-11-02,20:28:00,Intervention,Trial 2,Away,37.81333333333333,14.434166666666668,0.30666666666666664,0.35025
30,384,2025-11-02,20:29:00,Intervention,Trial 2,Away,37.5,14.409166666666666,0.3015833333333333,0.39349999999999996
31,384,2025-11-02,20:30:00,Intervention,Trial 2,Away,38.1625,14.401666666666666,0.2735,4.150333333333333
32,384,2025-11-02,20:31:00,Intervention,Trial 2,Away,38.02833333333333,14.3925,0.2233333333333333,0.2316666666666667
33,384,2025-11-02,20:32:00,Intervention,Trial 2,Away,38.55833333333333,14.391666666666667,0.3685,0.47283333333333327
34,384,2025-11-02,20:33:00,Intervention,Trial 2,Away,38.69,14.396666666666667,0.42675,1.1128333333333333
35,384,2025-11-02,20:34:00,Intervention,Trial 2,Away,39.384166666666665,14.430833333333332,0.32758333333333334,0.6184166666666666
36,384,2025-11-02,20:35:00,Intervention,Trial 2,Away,38.9275,14.467500000000001,0.44975000000000004,3.450416666666667
37,384,2025-11-02,20:36:00,Intervention,Trial 2,Away,39.681666666666665,14.519166666666665,0.23791666666666667,0.5023333333333333
38,384,2025-11-02,20:37:00,Intervention,Trial 2,Away,38.66416666666667,14.58,0.30141666666666667,1.6910833333333333
39,384,2025-11-02,20:38:00,Intervention,Trial 2,Away,38.58583333333333,14.623333333333333,0.22824999999999998,0.25066666666666665
40,384,2025-11-02,20:39:00,Intervention,Trial 2,Away,38.65333333333333,14.652500000000002,0.38275,0.74425
41,384,2025-11-02,20:40:00,Intervention,Trial 2,Away,39.18666666666667,14.707500000000001,0.34708333333333335,1.0376666666666667
42,384,2025-11-02,20:41:00,Intervention,Trial 2,Away,39.285833333333336,14.754166666666668,0.43425,1.2778333333333334
43,384,2025-11-02,20:42:00,Intervention,Trial 2,Away,39.4475,14.8025,0.28508333333333336,3.2685833333333334
44,384,2025-11-02,20:43:00,Intervention,Trial 2,Away,38.829166666666666,14.854166666666666,0.38225,0.7022499999999999
45,384,2025-11-02,20:44:00,Intervention,Trial 2,Away,37.07666666666667,14.891666666666667,0.5910833333333333,2.7064166666666662
46,384,2025-11-02,20:45:00,Intervention,Trial 2,Away,38.556666666666665,14.904166666666667,0.32116666666666666,0.41241666666666665
47,384,2025-11-02,20:46:00,Intervention,Trial 2,Away,37.276666666666664,14.924999999999999,0.33158333333333334,1.6254166666666665
48,384,2025-11-02,20:47:00,Intervention,Trial 2,Away,37.85916666666667,14.94,0.61125,3.4272500000000004
49,384,2025-11-02,20:48:00,Intervention,Trial 2,Away,38.28666666666667,14.957500000000001,0.3660833333333333,1.1756666666666666
50,384,2025-11-02,20:49:00,Intervention,Trial 2,Away,38.72416666666667,14.973333333333334,0.27158333333333334,0.36108333333333337
51,384,2025-11-02,20:50:00,Intervention,Trial 2,Away,37.62416666666667,14.967500000000001,0.19458333333333333,0.2786666666666667
52,384,2025-11-02,20:51:00,Intervention,Trial 2,Away,37.22083333333333,14.929166666666667,0.30058333333333337,0.5866666666666667
53,384,2025-11-02,20:52:00,Intervention,Trial 2,Away,37.318333333333335,14.900833333333333,0.33699999999999997,0.6059166666666667
54,384,2025-11-02,20:53:00,Intervention,Trial 2,Away,38.6275,14.874166666666667,0.32183333333333336,2.790083333333333
55,384,2025-11-02,20:54:00,Intervention,Trial 2,Away,38.596666666666664,14.851666666666667,0.51075,6.948
56,384,2025-11-02,20:55:00,Intervention,Trial 2,Away,38.70333333333333,14.8075,0.6631666666666667,1.5815
57,384,2025-11-02,20:56:00,Intervention,Trial 2,Away,38.19916666666666,14.795833333333334,0.24941666666666665,0.27158333333333334
58,384,2025-11-02,20:57:00,Intervention,Trial 2,Away,38.776666666666664,14.771666666666667,0.32316666666666666,0.42775
59,384,2025-11-02,20:58:00,Intervention,Trial 2,Away,38.02,14.735833333333334,0.21799999999999997,0.30075
60,384,2025-11-02,20:59:00,Intervention,Trial 2,Away,38.774166666666666,14.689166666666667,0.33708333333333335,0.44275
61,384,2025-11-02,21:00:00,Intervention,Trial 2,Away,37.75833333333333,14.640833333333333,0.3374166666666667,0.6295833333333333
62,384,2025-11-02,21:01:00,Intervention,Trial 2,Away,38.3125,14.601666666666667,0.39641666666666664,0.7360000000000001
63,384,2025-11-02,21:02:00,Intervention,Trial 2,Away,38.5675,14.553333333333333,0.3761666666666667,0.7308333333333333
64,384,2025-11-02,21:03:00,Intervention,Trial 2,Away,39.0075,14.51,0.16308333333333333,0.1665
65,384,2025-11-02,21:04:00,Intervention,Trial 2,Away,39.6,14.468333333333334,0.6285833333333334,0.9979166666666667
66,384,2025-11-02,21:05:00,Intervention,Trial 2,Away,38.939166666666665,14.424999999999999,0.39758333333333334,0.6005
67,384,2025-11-02,21:06:00,Intervention,Trial 2,Away,38.8825,14.3675,0.30233333333333334,0.34441666666666665
68,384,2025-11-02,21:07:00,Intervention,Trial 2,Away,39.125,14.311666666666667,0.42383333333333334,0.8459166666666667
69,384,2025-11-02,21:08:00,Intervention,Trial 2,Away,39.049166666666665,14.230833333333335,0.43516666666666665,0.64
70,384,2025-11-02,21:09:00,Intervention,Trial 2,Away,39.01916666666667,14.123333333333333,0.48641666666666666,0.88375
71,384,2025-11-02,21:10:00,Intervention,Trial 2,Away,39.61333333333334,14.028333333333334,0.2304166666666667,0.23958333333333334
72,384,2025-11-02,21:11:00,Intervention,Trial 2,Away,39.41833333333333,13.913333333333334,0.44849999999999995,0.8487499999999999
73,384,2025-11-02,21:12:00,Intervention,Trial 2,Away,40.14333333333334,13.809166666666668,0.3130833333333333,0.4776666666666667
74,384,2025-11-02,21:13:00,Intervention,Trial 2,Away,40.160000000000004,13.725,0.24725,0.9316666666666666
75,384,2025-11-02,21:14:00,Intervention,Trial 2,Away,40.0175,13.646666666666667,0.29525,0.33708333333333335
76,384,2025-11-02,21:15:00,Intervention,Trial 2,Away,40.531666666666666,13.558333333333332,0.23424999999999999,0.2544166666666667
77,384,2025-11-02,21:16:00,Intervention,Trial 2,Away,40.913333333333334,13.483333333333334,0.49408333333333326,1.3949166666666668
