Time_Stamp,Instrument_ID,Date,Time,Condition,Session,Prox_to_xroad,Relative_Humidity_%,Temperature_C,PM25_ug/m3,PM10_ug/m3
1,378,2025-10-26,19:00:00,Intervention,Session 1,Near,33.21,18.18583333333333,0.57375,3.5557499999999997
2,378,2025-10-26,19:01:00,Intervention,Session 1,Near,35.461666666666666,18.109166666666667,0.7335833333333334,7.4632499999999995
3,378,2025-10-26,19:02:00,Intervention,Session 1,Near,35.409166666666664,18.05333333333333,0.22975,1.2901666666666667
4,378,2025-10-26,19:03:00,Intervention,Session 1,Near,35.122499999999995,17.985833333333336,0.312,4.3925
5,378,2025-10-26,19:04:00,Intervention,Session 1,Near,33.18416666666666,17.9525,0.3255,2.1625
6,378,2025-10-26,19:05:00,Intervention,Session 1,Near,35.82666666666667,17.900833333333335,0.26758333333333334,0.28625
7,378,2025-10-26,19:06:00,Intervention,Session 1,Near,37.262499999999996,17.8675,0.4121666666666666,1.2271666666666667
8,378,2025-10-26,19:07:00,Intervention,Session 1,Near,36.58166666666667,17.8625,0.61925,2.314
9,378,2025-10-26,19:08:00,Intervention,Session 1,Near,33.810833333333335,17.865,0.5095833333333334,1.2104166666666667
10,378,2025-10-26,19:09:00,Intervention,Session 1,Near,33.7275,17.874166666666667,0.43041666666666667,2.2808333333333333
11,378,2025-10-26,19:10:00,Intervention,Session 1,Near,32.655833333333334,17.838333333333335,0.7878333333333334,7.301583333333333
12,378,2025-10-26,19:11:00,Intervention,Session 1,Near,34.278333333333336,17.8025,0.4705,0.62525
13,378,2025-10-26,19:12:00,Intervention,Session 1,Near,30.673333333333332,17.7425,0.5265,1.1571666666666667
14,378,2025-10-26,19:13:00,Intervention,Session 1,Near,32.4525,17.678333333333335,0.6729166666666666,1.2630833333333333
15,378,2025-10-26,19:14:00,Intervention,Session 1,Near,34.405833333333334,17.680833333333336,0.68525,1.57575
16,378,2025-10-26,19:15:00,Intervention,Session 1,Near,32.199999999999996,17.665833333333335,0.5179166666666667,2.8409999999999997
17,378,2025-10-26,19:16:00,Intervention,Session 1,Near,32.840833333333336,17.61916666666667,0.5596666666666666,1.4768333333333334
18,378,2025-10-26,19:17:00,Intervention,Session 1,Near,33.45666666666667,17.536666666666665,0.6222500000000001,3.1611666666666665
19,378,2025-10-26,19:18:00,Intervention,Session 1,Near,33.26333333333333,17.483333333333334,0.5668333333333333,0.8530000000000001
20,378,2025-10-26,19:19:00,Intervention,Session 1,Near,33.00333333333334,17.412499999999998,0.6115,0.7080833333333333
21,378,2025-10-26,19:20:00,Intervention,Session 1,Near,31.564166666666665,17.300833333333333,0.48408333333333337,0.5591666666666667
22,378,2025-10-26,19:21:00,Intervention,Session 1,Near,30.775000000000002,17.155,0.49983333333333335,1.1874166666666666
23,378,2025-10-26,19:22:00,Intervention,Session 1,Near,31.326666666666668,17.0125,0.5684166666666667,1.113
24,378,2025-10-26,19:23:00,Intervention,Session 1,Near,32.69,16.93166666666667,0.45341666666666663,0.6108333333333333
25,378,2025-10-26,19:24:00,Intervention,Session 1,Near,33.5875,16.893333333333334,0.8129166666666667,1.7517499999999997
26,378,2025-10-26,19:25:00,Intervention,Session 1,Near,36.6675,16.857499999999998,0.33666666666666667,0.9380000000000001
27,378,2025-10-26,19:26:00,Intervention,Session 1,Near,36.29333333333333,16.8625,0.3589166666666667,3.0820833333333333
28,378,2025-10-26,19:27:00,Intervention,Session 1,Near,36.16583333333333,16.893333333333334,0.3700833333333333,0.47750000000000004
29,378,2025-10-26,19:28:00,Intervention,Session 1,Near,32.9125,16.9475,0.34074999999999994,0.9714999999999998
30,378,2025-10-26,19:29:00,Intervention,Session 1,Near,32.473333333333336,17.034166666666668,0.4970833333333333,0.911
31,378,2025-10-26,19:30:00,Intervention,Session 1,Near,33.479166666666664,17.06833333333333,0.34825,0.9390833333333334
32,378,2025-10-26,19:31:00,Intervention,Session 1,Near,34.74583333333333,17.103333333333335,0.6965,1.7078333333333333
33,378,2025-10-26,19:32:00,Intervention,Session 1,Near,34.88333333333333,17.129166666666666,0.4896666666666667,0.8166666666666665
34,378,2025-10-26,19:33:00,Intervention,Session 1,Near,34.86416666666667,17.1625,0.4985833333333333,0.7795
35,378,2025-10-26,19:34:00,Intervention,Session 1,Near,37.33583333333333,17.236666666666668,0.42324999999999996,0.6795
36,378,2025-10-26,19:35:00,Intervention,Session 1,Near,34.340833333333336,17.315833333333334,0.45174999999999993,2.3815833333333334
37,378,2025-10-26,19:36:00,Intervention,Session 1,Near,35.2125,17.405833333333334,0.6331666666666667,2.9669166666666666
38,378,2025-10-26,19:37:00,Intervention,Session 1,Near,32.70166666666667,17.493333333333332,0.49533333333333335,0.5436666666666666
39,378,2025-10-26,19:38:00,Intervention,Session 1,Near,33.08583333333333,17.591666666666665,0.379,1.02725
40,378,2025-10-26,19:39:00,Intervention,Session 1,Near,31.71166666666667,17.67833333333333,0.42124999999999996,0.44566666666666666
41,378,2025-10-26,19:40:00,Intervention,Session 1,Near,31.37,17.765833333333333,0.42716666666666664,1.7448333333333335
42,378,2025-10-26,19:41:00,Intervention,Session 1,Near,31.845,17.782500000000002,0.4695,0.6174166666666666
43,378,2025-10-26,19:42:00,Intervention,Session 1,Near,31.569999999999997,17.805833333333332,0.7240000000000001,1.9770833333333335
44,378,2025-10-26,19:43:00,Intervention,Session 1,Near,33.23666666666667,17.805,0.5738333333333333,0.88225
45,378,2025-10-26,19:44:00,Intervention,Session 1,Near,33.02833333333333,17.826666666666668,0.41583333333333333,0.5055
46,378,2025-10-26,19:45:00,Intervention,Session 1,Near,33.345,17.87,0.5106666666666667,2.4460833333333336
47,378,2025-10-26,19:46:00,Intervention,Session 1,Near,33.026666666666664,17.926666666666666,0.585,0.6748333333333334
48,378,2025-10-26,19:47:00,Intervention,Session 1,Near,30.91416666666667,17.999166666666667,0.41025,0.5194166666666666
49,378,2025-10-26,19:48:00,Intervention,Session 1,Near,29.719166666666666,18.019166666666667,0.45649999999999996,0.7775833333333333
50,378,2025-10-26,19:49:00,Intervention,Session 1,Near,29.74,17.974166666666665,0.4404166666666667,0.46608333333333335
51,378,2025-10-26,19:50:00,Intervention,Session 1,Near,32.32,18.003333333333334,0.6361666666666667,4.361416666666666
52,378,2025-10-26,19:51:00,Intervention,Session 1,Near,31.2325,18.070833333333333,0.5364166666666667,0.5781666666666666
53,378,2025-10-26,19:52:00,Intervention,Session 1,Near,31.900833333333335,18.150000000000002,0.603,0.928
54,378,2025-10-26,19:53:00,Intervention,Session 1,Near,32.1725,18.2575,0.6257499999999999,0.66225
55,378,2025-10-26,19:54:00,Intervention,Session 1,Near,31.231666666666666,18.354166666666668,0.6855833333333333,4.473166666666667
56,378,2025-10-26,19:55:00,Intervention,Session 1,Near,34.33583333333333,18.450833333333332,0.33041666666666664,2.1108333333333333
57,378,2025-10-26,19:56:00,Intervention,Session 1,Near,32.25833333333333,18.55666666666667,0.5255833333333333,3.4120000000000004
58,378,2025-10-26,19:57:00,Intervention,Session 1,Near,32.839999999999996,18.633333333333336,0.6688333333333333,0.7845833333333333
59,378,2025-10-26,19:58:00,Intervention,Session 1,Near,30.866666666666664,18.708333333333332,0.6315,3.794916666666667
60,378,2025-10-26,19:59:00,Intervention,Session 1,Near,29.856666666666666,18.801666666666666,0.27791666666666665,0.27875
61,378,2025-10-26,20:00:00,Intervention,Session 1,Near,30.235,18.828333333333333,0.4143333333333333,3.0957500000000002
62,378,2025-10-26,20:01:00,Intervention,Session 1,Near,29.9825,18.892500000000002,0.41524999999999995,0.51325
63,378,2025-10-26,20:02:00,Intervention,Session 1,Near,30.159166666666668,18.9,0.3873333333333333,3.447833333333333
64,378,2025-10-26,20:03:00,Intervention,Session 1,Near,29.155,18.855,0.5339999999999999,0.7413333333333333
65,378,2025-10-26,20:04:00,Intervention,Session 1,Near,30.695833333333336,18.8025,0.4423333333333333,2.4400833333333334
66,378,2025-10-26,20:05:00,Intervention,Session 1,Near,31.53,18.838333333333335,0.3829166666666666,0.6364166666666666
67,378,2025-10-26,20:06:00,Intervention,Session 1,Near,30.5775,18.858333333333334,0.47983333333333333,2.10875
68,378,2025-10-26,20:07:00,Intervention,Session 1,Near,30.42,18.857499999999998,0.4964166666666667,1.1118333333333335
69,378,2025-10-26,20:08:00,Intervention,Session 1,Near,30.765833333333333,18.8325,0.34775,0.4335
70,378,2025-10-26,20:09:00,Intervention,Session 1,Near,29.116666666666664,18.800833333333333,0.2585,0.8043333333333332
71,378,2025-10-26,20:10:00,Intervention,Session 1,Near,29.760833333333334,18.75583333333333,0.5890833333333333,3.202083333333333
72,378,2025-10-26,20:11:00,Intervention,Session 1,Near,29.070000000000004,18.6725,0.5928333333333333,4.031416666666666
73,378,2025-10-26,20:12:00,Intervention,Session 1,Near,30.515833333333333,18.55666666666667,0.5336666666666666,1.1781666666666666
74,378,2025-10-26,20:13:00,Intervention,Session 1,Near,30.495833333333334,18.536666666666665,0.5288333333333334,2.99825
